財產號碼,購買日期,財產名稱,使用年限,規格,型號,單價,保管單位,存放地點,保管人,備註,廠商名稱,狀態,採購單號,經費類別,經費來源,會計科目,傳票號碼,傳票日期,廠牌,型號
820091001,830621,數位鋼琴,12,"CLP-122 廠牌:功學社,附耳機 CLP-65",台,"53,922",學生事務處課外活動指導組,H11400,王棋慧,"（-31,-50）",功學社,正常,0,,,機械儀器及設備,31021210102,1021210,*,*
820091002,830621,數位鋼琴,12,"CLP-122 廠牌:功學社,附耳機 CLP-65",台,"53,922",學生事務處課外活動指導組,K12102,王棋慧,"（-31,-50）",功學社,正常,0,,,機械儀器及設備,31021210102,1021210,*,*
820091003,830621,數位鋼琴,12,"CLP-122 廠牌:功學社,附耳機 CLP-65",台,"53,922",學生事務處課外活動指導組,H11400,王棋慧,"（-31,-50）",功學社,正常,0,,,機械儀器及設備,31021210102,1021210,*,*
820091005,830621,數位鋼琴,12,"CLP-122 廠牌:功學社,附耳機 CLP-65",台,"53,922",學生事務處課外活動指導組,H11400,王棋慧,"（-31,-50）",功學社,正常,0,,,機械儀器及設備,31021210102,1021210,*,*
820091006,830621,數位鋼琴,12,"CLP-122 廠牌:功學社,附耳機 CLP-65",台,"53,922",學生事務處課外活動指導組,H11400,王棋慧,"（-31,-50）",功學社,正常,0,,,機械儀器及設備,31021210102,1021210,*,*
820091007,830621,數位鋼琴,12,"CLP-122 廠牌:功學社,附耳機 CLP-65",台,"53,922",學生事務處課外活動指導組,H11400,王棋慧,"（-31,-50）",功學社,正常,0,,,機械儀器及設備,31021210102,1021210,*,*
820091009,830621,數位鋼琴,12,"CLP-122 廠牌:功學社,附耳機 CLP-65",台,"53,922",學生事務處課外活動指導組,H11400,王棋慧,"（-31,-50）",功學社,正常,0,,,機械儀器及設備,31021210102,1021210,*,*
820091011,830621,數位鋼琴,12,"CLP-122 廠牌:功學社,附耳機 CLP-65",台,"53,922",學生事務處課外活動指導組,H11400,王棋慧,"（-31,-50）",功學社,正常,0,,,機械儀器及設備,31021210102,1021210,*,*
820091012,830621,數位鋼琴,12,"CLP-122 廠牌:功學社,附耳機 CLP-65",台,"53,922",學生事務處課外活動指導組,H11400,王棋慧,"（-31,-50）",功學社,正常,0,,,機械儀器及設備,31021210102,1021210,*,*
890507001,891031,產品冷凍架,5,85*52*168附24兩不沾土司模,座,"17,750",學生事務處課外活動指導組,H11000,王棋慧,,東昇,正常,0,,,機械儀器及設備,31021210102,1021210,*,*
